abalone	2793,5509,7072,8690
abandon	3212
abandoned	7806,8713
abandoning	8852
abdomen	3493,12066
abdominals	3493
abdullah	7807
abeyance	8502,11463,12954
abide	5181
abiding	10302
ability	549,966,1154,1178,1955
ablaze	4443,7448,7992
able	489,657,1757,1899,2071,2737,2803,2906,3050,3108,3112,3164,3223,3336,3767,4019,4128,4484,4574,4631,4698,5275,5641,6758,6776,6797,7821,8471,8504,8572,8629,8829,9114,9654,10371,10785,12097,12316,12330,12350,13118
aboard	496,504,869,875,942,953,1136,1137,2298,2356,2371,2389,2434,2454,2502,2513,2814,2823,2883,2971,3199,3201,3344,3372,3715,4484,4612,4784,4929,5006,5429,5628,5947,7266,7591,7722,7776,7831,8369,9728,9730,11745,11772,12103,12281,12517,12689,12814,13011,13043,13109
abode	8364
abominable	4835,7146,7714,7716
aborigines	4814
abounded	4026
above	111,503,914,970,1054,1158,1411,1527,1809,1828,1843,1940,2154,2203,2265,3107,3139,3274,3297,3569,3825,3996,4008,4041,4185,4194,4198,4202,4374,4428,4436,5296,7380,7421,7433,7447,7499,7653,7791,8045,8341,8634,8649,9154,9218,9245,9285,9296,9298,9352,9364,9364,9372,9379,9385,9498,9560,9563,9654,9785,9938,10418,10421,10515,10519,10521,10540,10780,10791,11065,11065,11202,11269,11432,11590,12046,12554,12825,12849
abraham	711,727,737,841,866,880,880,891,908,915,920,949,953,963,995,1026,1133,1136,1148,1150,1165,1198,1215,1221,1226,1230,1298,1316,1327,1350,1383,1438,1462,1496,1522,1555,1564,1603,1610,1647,1672,2170,2237,2371,2388,2398,3048,3153,3191,3310,8369,8914,12713,13044
abrasions	6089
abreast	610,923,993,1143,1274,4681,7802,9837,10247,11557,11627,11633,11634,12154,12173,12192,12330,12502
abridged	410
abroad	2370,8972
abrou	5151
abruptly	574,1199,1327,1620,2335,6859,10294
absence	587,831,3638,3661,3762,10644,10656
absent	2069
absolute	3210,11125,12581
absolutely	2254,2808,2985,3129,5039,7154,7878,8229,8371,10391
absolve	2443
absorb	4323,4327,11314
absorbed	2153,2428
absorbing	2138,4255
absorbs	4326
absurd	5955
abundance	2669
abundant	683,3282,3641,4098,4329,5046,8693,10710,10758
abundantly	3665,3870,9138
abuse	2817
academy	510,2683
acanthopterygia	9718
acanthopterygians	3487
accelerate	372
accelerated	11137
accent	2010,2375
accented	5478,12164
accenting	7912
accentuated	13051
accentuation	1965
accept	95,654,666,669,1008,1052,1788,2280,2286,2439,2444,2449,3143,3432,3739,3856,4746,4775,6144,7666,8274,8278,9497,11853,12033,12203,12480
acceptable	1224,5481,6748,7009
acceptance	9675
accepted	468,689,702,766,7499,9273,11249
accepting	501,7004
accepts	138
access	69,3110,3899,5457,7558,13093
accessories	3101
accident	287,528,553,1098,1107,4868,10917,10992,11006,11014,12551,12608
accidental	3187,3189
accidentally	4099,5924,13124
accidents	2396
acclaimed	921,3941
acclimatized	6764
accommodations	882,3014,3101,3241
accompanied	4633,6147
accompany	4057
accompanying	5816,10514,13127
accomplice	12933
accomplices	12807
accomplish	2920
accomplished	4493,8556,10492,10666,11279,11420
according	1946,2140,3129,4509,4627,6837,7108,7127,7690,8110,8501,9647,9969,10301,10580,10616,10831,11912
accordingly	552,716,1669,2281,2686,2925,3154,3806,4128,4771,5775,8008,8128,8357,8563,9459,9642,10285,10711,10755,11397,11932,12484
account	585,2424,3131,4685,9214,10855,11284
accounting	10797
accumulation	12439
accuracy	2952,3668,5768,7678,12507
accurate	8705,9337,10311,11665,12098,12418,13163
accurately	192,9633,11963
accursed	12750
accused	590,8868,10437
accusing	3820
accustomed	2558,4096,4766,7389,8147,9148,9923,10927
acephala	2757,7070
acetabuliferous	6844
ached	3410
achieve	9671
achieved	1789
achievement	4521
achievements	2673,4493
acquaintance	2368
acquiesce	9671
acquired	3529
acquiring	2735,2800
acres	432
acrobatic	781
acropolis	9260
across	1831,2867,4928,6715,7453,7512,7701,8642,8982,9082,9204,9506,12173,12957,13168
act	2284,2480,2815,4443,9038,9874,11429,12807,12927
acted	11211
acting	2443,4563,5091
actinidia	11650
action	369,392,1390,3679,3740,5838,7334,8812,9188,9294,9478,9655,10625,11786,12234,12618,12819,12845,12866
actions	2424
actium	8385
activate	3032,3850,4062
activated	905,4150
active	4304,9455,10607
activities	4649,4681,10209
activity	1461,5854,7009,8882,9923,10265
actual	683,2959,3772,3831,4115,4199,4289,4718,4947,5480,5858,5881,6183,6188,6761,6850,7960,8006,8038,8523,8634,8640,9509,9633,10159,10703,11799,11930,13057
actually	1065,3057,3427,4030,6186,8613,8858,9008,10693,10938,11890,12714
acute	578,8584,13038
ad	3874,5646,10887
adapt	2209,12199
add	1943,2662,3890,4509,5202,7986,8647,9502,9769,11243,11787,12171
added	347,543,1345,1367,1967,2268,2803,3102,3132,3336,3564,3733,3765,3809,4335,5075,5137,5354,5666,6252,6693,7046,7144,7411,8004,8213,8347,8760,8963,9900,10447,11113,11579,11716,12996
addicted	10012
adding	5808
addition	116,5111,10637,10827
additional	127,130,4683,11485
address	2450,2561,3225,3767,5938,7323,8423,8450,11686,12570
addressed	796,3708,5929,7980,10104,12541
addressing	3765,4340,12758
adds	369,7716,8278
adelaide	10883
adelphi	2068
aden	7615,7617,7629
adequate	4142
adequately	5793
adhering	3097
adjoining	3974,8874
adjoins	2830
adjust	2212
adjusted	3230,4769
adjusting	11125
administration	7814
admirable	5014
admiral	4543,4611,4615,4813,4828,8980,8982,8988,9001,9755,12613,12615,12616
admiralty	4613
admire	6709,12303
admissible	626,666
admission	341,11485
admit	975,989,1492,2035,2293,2557,5086,6077,6992,7019,8818,9004,10035,10357,11082,12174
admits	337
admitted	8836,11234,11490
admitting	793
ado	2083,5341
adopt	10748
adopted	3079,7644,10500,13179
adopting	4661
adoration	2723
adorned	2722,3536,3937,4027,4186,5470,6171,6788,6793,7348,7684,7883,8624,8679,10130,11651,11807
adorning	7395
adornment	11927
adriatic	5826,8622
adroit	4203,5486
adult	7520
adults	10264
advance	32,5568,10139,10437,10637
advanced	3689,6964,7295,8763,9268,10221,10373,10663,10888
advances	514,12132,12139
advancing	1565,4593
advantage	1562,2126,2277,2478,2689,4824,5463,6708,7867,8268,8304,8763,8845,9108,11541,13018
advantageous	8257
adventure	363
adventurer	4618
adventures	368,981,1975,2012,3668,7190,13163
adversaries	10140
adversary	1565,7460,8037,12817,12841
advice	776,5251
advisable	4022,8013,8527
advise	1449,3534
advised	4928,12769
advisor	86
aegri	250,5756,6632,6644
aerial	5210
affability	4925
affable	5632,8952
affairs	4862,11288
affect	494
affected	11399
affecting	558
affection	4289
affectionate	8732
afford	2660,13005
affront	10679
afloat	1676,7909,8107,8321,9385,11063,11432,11998,12000,12645
afoot	2061
aforesaid	2302,2969,3092
afoul	494,524,531,560,3186,4706,10936
afraid	1325,2317,3856,4662,6984,7201,7224,8138,9626,13011
africa	2784,7652,7811,7837,7840,8561,8640,8744,8779,9282,9294,9631,11633,12129
aft	3302,12577,12680
after	494,545,578,583,608,640,645,653,760,836,928,956,993,1002,1138,1148,1165,1198,1219,1220,1233,1251,1427,1469,1553,1666,1753,1755,1868,1874,1894,1905,1999,2089,2215,2257,2318,2363,2381,2431,2539,2547,2729,2754,3004,3013,3056,3634,3664,3755,3917,3975,3977,4093,4127,4161,4198,4223,4285,4291,4325,4379,4386,4523,4590,4632,4635,4651,4651,4668,4671,4682,4798,4893,4937,4970,5083,5189,5210,5251,5296,5316,5401,5453,5607,5781,5785,5815,5848,5942,6039,6095,6186,6190,6238,6813,6821,6844,6917,7336,7343,7392,7494,7570,7580,7610,7619,7680,7703,7733,7748,7756,7797,7821,7827,7838,7907,7931,8130,8248,8367,8423,8458,8534,8610,8786,8796,8801,8844,8982,9143,9160,9217,9364,9410,9422,9469,9556,9565,9628,9668,9824,9963,10306,10452,10478,10541,10597,10637,10762,10779,10797,10820,11254,11260,11271,11276,11278,11311,11354,11381,11384,11387,11456,11572,11585,11607,11733,11894,11924,12052,12119,12360,12368,12484,12515,12537,12540,12560,12562,12584,12617,12696,12790,12927,12939,13073,13100,13172
afterdeck	869,997,1357,4433,12619
aftermath	12413
afternoon	558,1148,3638,4850,5170,5666,6046,6702,6829,6835,8103,8458,9368,10355,10933,11399,12335,12522,12788
aftershocks	7484
again	520,585,619,643,721,762,1175,1473,1546,1557,1698,1975,1989,2016,2215,2303,2411,2470,3139,3275,3317,3638,3700,4010,4107,4176,4190,4207,4306,4326,4337,4608,4750,4799,4872,4874,4889,4909,4965,5210,5316,5442,5834,6205,6230,6733,7275,7339,7430,7436,7516,7623,7703,7756,7918,8081,8081,8229,8390,8751,9109,9579,9676,9679,10167,10348,10409,10486,10512,10535,10785,11633,11981,12239,12385,12526,13018,13136
against	350,351,1089,1157,1182,1338,1338,1451,1618,1738,1993,2203,2360,2776,3319,4124,4142,4486,4788,4997,5695,5763,5776,5786,5868,7612,7807,7922,8108,8370,8396,8488,8591,9053,9071,9183,9189,9218,9275,9423,9932,10287,10443,10452,10519,10623,10647,10731,10847,10949,11487,11596,11653,11965,12028,12070,12152,12613,12722,13002,13129,13142
agassiz	2682
agatharchides	7720
age	697,793,1950,6964,9280,9290
ageless	2741
agents	114
aggressive	631,7020
agile	4178,10624
agility	781,7364,10843
agitated	4494,8392,8732,12385,12789
agitation	5907,8851,8891,13033,13041,13109
ago	1252,2564,2686,7849,8668,8751,9261,9961,10065,11919,12284,12616,13182
agonizing	8851,11399
agree	95,130,5505,9966,10351,11766,12139
agreeable	6137,12692
agreed	467,1232,6741,7750,8315,8656,8821,10206
agreement	2374,2517,3665,7666
agreements	5932,8991
aground	3958,4621,4706,4817,4846,4862,4881,4970,5339,5391,5457,5635,5657,5659,10582,10587,10941,10947,10961,11002,12433,13045
ah	986,2611,3196,3448,3538,4299,4720,5414,5595,5701,7709,8952,9394,10445
aha	5824,8004
ahead	903,1240,1733,2210,2452,4821,7730,7769,7928,8100,8162,9183,10152,10272,10400,11068,11347
ahhh	11511
ahoy	1274
aid	1424
ailing	4709
ailments	789
aim	1529,1537,4161,4202,7994,8001
aimed	5554,5913,9804
aiming	7383,8975,9224
air	289,368,481,481,905,1070,1386,1495,1823,2130,2132,2132,2134,2134,2136,2140,2146,2153,2153,2154,2155,2157,2860,2939,2941,2943,2970,3027,3167,3547,3586,3671,3794,3824,3825,3830,3836,3836,3836,3837,3841,3844,3845,3861,3866,3870,3872,3876,3946,3986,3994,4007,4022,4051,4178,4196,4207,4285,4792,5342,5617,5686,5686,6039,6737,6777,7025,7099,7148,7314,7334,7957,8076,8115,8262,8530,8547,8568,8796,9137,9158,9158,9252,9337,9431,9479,9550,9723,9769,9785,9822,9873,9874,9884,9886,9892,9896,9943,10255,10431,10433,10475,10512,10528,10529,10559,10610,10621,10629,10654,10835,10842,10923,11056,11200,11215,11217,11220,11250,11278,11282,11285,11306,11307,11310,11316,11350,11354,11358,11359,11397,11407,11414,11417,11418,11422,11422,11470,11473,11482,11490,11506,11508,11518,11533,11681,11717,11717,11789,12049,12055,12063,12066,12327,12355,12365,12367,12372,12375,12419,12458,12645,12738,12837,12897,12960
airship	9364,9365
airtight	3869
ajar	8903
akin	9714
al	7807,8605
alacrity	4928
alarm	5276,5431,5568,6173,8810,8947,11215,12425,13037
alarmed	459,4866,8403
alarming	7429
albacore	4384,4529,4789,11804
albatross	4204,6750,10629,10661
albeit	2708,9345,11627
albemarle	4612
albums	3649
alcoves	6183
alcyon	4696,9659,10618
alcyonaria	6153
alcyonarian	2767,4793
alecto	11923,11977
alert	1390,2122,5582,7051,8347,12843
alerted	4139,7256,8073,8829,10460,12511
aleutian	490,3360,9993
alexandria	8534
algae	3653,4038,4040,4046,4211,4795,7652,7772,8160,9161,9191,9233,9636,9641,10004,11609
algebraic	5586
algiers	8729
alien	5816,12305
alighted	8095,10240,11610
alive	697,3583,5296,5855,7010,8532,8615,10614,11520,13171
